query_text,language,intent
What time is it in Cairo?,English,information
Add eggs to my cart,English,shopping
Navigate to the stadium,English,navigation
How far is Moscow from Berlin?,English,information
Show construction delays on my commute,English,navigation
What's the weather in São Paulo?,English,information
Recommend a book for a rainy day,English,entertainment
Show me reviews for coffee machine,English,shopping
Recommend a science podcast,English,entertainment
Take me to school,English,navigation
Buy phone case,English,shopping
सबसे नज़दीकी कॉफी शॉप ढूंढो,Hindi,navigation
Remind me to do laundry at 10 AM,English,command
Directions to the convention center,English,navigation
Remind me about dinner tomorrow,English,command
Empfiehl mir einen Podcast,German,entertainment
Show me home decor on sale,English,shopping
Find the nearest grocery store,English,navigation
Start notifications,English,command
Show me songs by Drake,English,entertainment
Show me reviews for water bottle,English,shopping
Buy umbrella,English,shopping
Itinéraire vers la maison,French,navigation
Stream tournament live,English,entertainment
Resume the heater,English,command
Order desk lamp online,English,shopping
Enable NFC,English,command
What's the score of the Warriors game?,English,entertainment
Show me car washs near the office,English,navigation
Find the nearest parking spot,English,navigation
Restock ice cream,English,shopping
How far is São Paulo from Istanbul?,English,information
Remind me to send the email at 8 PM,English,command
Who is the capital of France?,English,information
How do I get to the church?,English,navigation
Add sunscreen to my cart,English,shopping
How far is it to the next EV charger?,English,navigation
How do you say beautiful in Spanish?,English,information
Buy resistance bands,English,shopping
Find deals on running shoes,English,shopping
Restock flour,English,shopping
Order air purifier online,English,shopping
How do you say sorry in Japanese?,English,information
Restock dog food,English,shopping
Play an audiobook by Yuval Harari,English,entertainment
Take me to the nearest bike shop,English,navigation
Take me to the zoo,English,navigation
Show me the fastest route to the convention center,English,navigation
What time does the show start?,English,entertainment
Disable auto-rotate,English,command
Show me the fastest route to Miami,English,navigation
Enable location services,English,command
Is the Constitution deep?,English,information
How far is it to the next rest stop?,English,navigation
How do you say beautiful in Italian?,English,information
Show me driving directions to the market,English,navigation
Enable mobile data,English,command
Where can I buy drone nearby?,English,shopping
Abra o calendário,Portuguese,command
What time is it in Mumbai?,English,information
Stop emails,English,command
Buy a gift for my friend,English,shopping
What does AI stand for?,English,information
Ruf Mama an,German,command
Reply to Dad's message,English,command
What's the score of the Chiefs game?,English,entertainment
What is the meaning of altruistic?,English,information
Cancel my notifications,English,command
Show me reviews for iron,English,shopping
What language do they speak in India?,English,information
What is the water cycle?,English,information
Commande-moi une pizza,French,shopping
Play the latest Kendrick Lamar album,English,entertainment
Play calm music for sleeping,English,entertainment
What games are on today?,English,entertainment
Play an audiobook by Colleen Hoover,English,entertainment
Set a timer for 45 minutes,English,command
Find a scenic route to the church,English,navigation
Play an audiobook by Brené Brown,English,entertainment
How much does drone cost?,English,shopping
What does IoT stand for?,English,information
What is cloud computing?,English,information
How much does hiking boots cost?,English,shopping
Wie ist das Wetter heute?,German,information
Route to Central Park,English,navigation
Close all apps,English,command
Play the latest Travis Scott album,English,entertainment
Find the best deal on sleeping bag,English,shopping
How much does rain jacket cost?,English,shopping
一番近いカフェを探して,Japanese,navigation
How long to drive to the hotel?,English,navigation
Where is the closest fire station?,English,navigation
How do I get to San Francisco?,English,navigation
How long to drive to Boston?,English,navigation
Mostre-me programas de comédia,Portuguese,entertainment
कॉमेडी शो दिखाओ,Hindi,entertainment
Find an electrician nearby,English,shopping
What is dark matter?,English,information
Show me playlists by Bruno Mars,English,entertainment
Call Emily,English,command
Set an alarm for 7 AM,English,command
What language do they speak in Norway?,English,information
Navigate to the nearest Starbucks,English,navigation
Take me to the nearest ATM,English,navigation
How do I get to the vet?,English,navigation
How long to drive to San Francisco?,English,navigation
Read my last notifications,English,command
How do you say water in German?,English,information
Where is the closest hotel?,English,navigation
把牛奶加到购物清单,Mandarin,shopping
What is solar panels?,English,information
Quem ganhou o jogo ontem à noite?,Portuguese,information
Where is the closest bank?,English,navigation
Is there a hardware store ahead?,English,navigation
What are the Sahara Desert?,English,information
Stop the air conditioning,English,command
Route nach Hause,German,navigation
Show me upcoming book releases,English,entertainment
What does ROI stand for?,English,information
Add dish soap to my shopping list,English,shopping
How do I get to the mall?,English,navigation
Order electric toothbrush online,English,shopping
What's new on Hulu?,English,entertainment
Take me to the nearest urgent care,English,navigation
Route to mom's house,English,navigation
What are the Emmy nominees this year?,English,entertainment
What's trending on HBO Max?,English,entertainment
Remind me to water the plants at 5 PM,English,command
Directions to the zoo,English,navigation
मेरे लिए पिज़्ज़ा ऑर्डर करो,Hindi,shopping
Find a gym near me,English,navigation
Show me reviews for office chair,English,shopping
What is the meaning of juxtaposition?,English,information
Schedule a dinner for Thursday,English,command
Stream match live,English,entertainment
How far is the airport from here?,English,navigation
Where is the closest florist?,English,navigation
Open Instagram,English,command
Find back-to-school deals,English,shopping
Restock ground beef,English,shopping
Show me the fastest route to the train station,English,navigation
最新の映画予告編を再生して,Japanese,entertainment
Navegar a la estación de tren,Spanish,navigation
What is the capital of Nigeria?,English,information
Add cheese to my cart,English,shopping
Show me driving directions to the hospital,English,navigation
Restock tea,English,shopping
Schedule a study session for Thursday,English,command
Take me to Central Park,English,navigation
Buy a new portable charger,English,shopping
Turn up the timer,English,command
Emmène-moi à l'aéroport,French,navigation
What's the origin of the Great Wall of China?,English,information
What's new on Disney Plus?,English,entertainment
What is antibiotics?,English,information
Who stars in Inception?,English,entertainment
What is the meaning of eloquent?,English,information
What games are on Friday?,English,entertainment
Navigate to Boston,English,navigation
What is cryptocurrency?,English,information
Find the nearest ATM,English,navigation
Set an alarm for noon,English,command
找最近的咖啡店,Mandarin,navigation
Ligue para a mamãe,Portuguese,command
Enable Wi-Fi,English,command
Sag mir die Schlagzeilen,German,information
Llama a mamá,Spanish,command
Take me to home,English,navigation
Turn on the front door,English,command
Navigate to the nearest restaurant,English,navigation
Order a replacement protein powder,English,shopping
Restock salsa,English,shopping
Find a scenic route to the dentist,English,navigation
Send Dad a message saying I'm on my way,English,command
Where is the closest urgent care?,English,navigation
What's trending on Apple TV?,English,entertainment
Turn on the fan,English,command
Order camera online,English,shopping
What does VPN stand for?,English,information
What is the meaning of empathy?,English,information
Find a subway station near me,English,navigation
Is there a bank ahead?,English,navigation
Show me R&B movies on Hulu,English,entertainment
What is the capital of Chile?,English,information
How tall is the Super Bowl?,English,information
Switch to focus mode,English,command
What's the distance of the Great Wall of China?,English,information
Find a restaurant with free air,English,navigation
What are the symptoms of allergies?,English,information
¿Qué altura tiene la Torre Eiffel?,Spanish,information
Call John,English,command
空港まで連れて行って,Japanese,navigation
Book a plumber near me,English,shopping
Find the nearest Starbucks,English,navigation
What is the capital of Thailand?,English,information
How do you say goodbye in German?,English,information
How much does speaker cost?,English,shopping
Set an alarm for 3 PM,English,command
给我推荐一个播客,Mandarin,entertainment
मेरा अमेज़न ऑर्डर ट्रैक करो,Hindi,shopping
What's the origin of the Constitution?,English,information
Turn on the kitchen lights,English,command
Subscribe to a mechanic,English,shopping
Rastreie meu pedido da Amazon,Portuguese,shopping
セントラルパークへの行き方は?,Japanese,navigation
Tell me about Stonehenge,English,information
Reply to the restaurant's message,English,command
Play the latest Morgan Wallen album,English,entertainment
How many continents are in the world?,English,information
Open the calculator,English,command
Set an alarm for 9 AM,English,command
What's trending on Hulu?,English,entertainment
Find the best deal on iron,English,shopping
आज की ताज़ा खबरें सुनाओ,Hindi,information
Where can I buy hiking boots nearby?,English,shopping
Play the latest Post Malone album,English,entertainment
Find the cheapest headphones,English,shopping
Take me to the nearest bank,English,navigation
What's new on Netflix?,English,entertainment
Order a replacement running shoes,English,shopping
Turn off the TV,English,command
Enable auto-rotate,English,command
Turn down the brightness,English,command
लाइट बंद करो,Hindi,command
Apague as luzes,Portuguese,command
Show me {genre} movies,English,entertainment
Show me romance movies on Spotify,English,entertainment
How much does contact lenses cost?,English,shopping
When is Thanksgiving this year?,English,information
Show me reviews for tent,English,shopping
What games are on Saturday?,English,entertainment
Stop voicemail,English,command
What's the origin of the Olympic Games?,English,information
Remind me about workout tomorrow,English,command
Play the top 40 hits,English,entertainment
Show me sports movies on Hulu,English,entertainment
Restock cat food,English,shopping
Find a cheap barber shop nearby,English,navigation
Turn up the bass,English,command
सेंट्रल पार्क कैसे जाएं?,Hindi,navigation
Show me the fastest route to the zoo,English,navigation
Find a scenic route to the ferry terminal,English,navigation
Remind me about study session in an hour,English,command
Find the cheapest suitcase,English,shopping
